,qb1a,qb2,qb5,qb4_3,qb4_5,qb7,qb8,qb9,d1,d10,d11,country,d25,d8,d63,d7
5324,"Poverty, hunger and lack of drinking water",5.0,No,2,2,2,2,2,centro-sx,Woman,37,IE - Ireland,Rural area or village,5,The working class of society,single con figli
5325,"Poverty, hunger and lack of drinking water",9.0,No,1,1,2,2,2,centro,Man,64,IE - Ireland,Large town,18,The middle class of society,con patner e figli
5326,"Poverty, hunger and lack of drinking water",9.0,Yes,1,1,1,1,1,centro,Woman,37,IE - Ireland,Small or middle sized town,24,The middle class of society,con patner e figli
5327,"Poverty, hunger and lack of drinking water",6.0,No,2,2,2,2,2,centro,Woman,56,IE - Ireland,Rural area or village,20,The working class of society,con patner e figli
5328,Climate change,10.0,No,2,2,1,2,2,centro,Man,40,IE - Ireland,Rural area or village,21,The working class of society,con patner
5329,Climate change,10.0,Yes,2,1,1,2,2,centro,Woman,52,IE - Ireland,Small or middle sized town,25,The working class of society,con patner e figli
5330,The economic situation,5.0,No,3,2,2,3,1,centro,Woman,43,IE - Ireland,Small or middle sized town,18,The working class of society,con patner
5331,International terrorism,8.0,No,3,2,2,2,2,centro,Man,39,IE - Ireland,Small or middle sized town,17,The working class of society,con patner e figli
5332,The economic situation,7.0,No,2,2,2,2,2,centro,Woman,36,IE - Ireland,Small or middle sized town,18,The working class of society,con patner e figli
5333,International terrorism,8.0,Yes,2,2,2,2,2,centro,Man,45,IE - Ireland,Small or middle sized town,20,The lower middle class of society,con patner e figli
5334,International terrorism,9.0,Yes,2,2,2,2,2,centro,Woman,50,IE - Ireland,Rural area or village,18,The working class of society,con patner e figli
5335,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,1,1,1,centro,Woman,28,IE - Ireland,Small or middle sized town,21,The working class of society,con patner e figli
5336,Climate change,8.0,Yes,3,3,1,1,2,centro,Man,22,IE - Ireland,Small or middle sized town,16,The working class of society,con patner e figli
5337,International terrorism,8.0,No,2,3,1,1,1,sx,Man,71,IE - Ireland,Small or middle sized town,17,The working class of society,con patner
5338,Climate change,7.0,Yes,2,3,2,2,2,centro,Man,42,IE - Ireland,Small or middle sized town,18,The working class of society,con patner e figli
5339,Climate change,8.0,Yes,1,1,1,1,1,centro,Man,62,IE - Ireland,Small or middle sized town,13,The working class of society,con patner e figli
5340,Climate change,8.0,No,3,3,2,2,2,non-posizionabile,Man,71,IE - Ireland,Small or middle sized town,15,The working class of society,con patner
5341,Climate change,8.0,Yes,3,2,2,2,2,centro,Woman,38,IE - Ireland,Small or middle sized town,17,The working class of society,con patner e figli
5342,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,2,2,2,centro,Woman,33,IE - Ireland,Small or middle sized town,17,The working class of society,con patner e figli
5343,Climate change,10.0,Yes,2,1,2,1,1,non-posizionabile,Woman,36,IE - Ireland,Small or middle sized town,30,The working class of society,con patner e figli
5344,Climate change,9.0,Yes,2,2,1,1,1,centro,Man,48,IE - Ireland,Small or middle sized town,16,The working class of society,con patner e figli
5345,Climate change,10.0,Yes,2,2,1,1,1,centro,Woman,62,IE - Ireland,Small or middle sized town,17,The lower middle class of society,con patner
5346,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,2,2,2,centro-dx,Woman,67,IE - Ireland,Large town,18,The middle class of society,single
5347,"Poverty, hunger and lack of drinking water",10.0,No,2,1,3,3,2,sx,Man,57,IE - Ireland,Rural area or village,16,The working class of society,con patner e figli
5348,The economic situation,9.0,No,1,2,1,2,2,non-posizionabile,Man,47,IE - Ireland,Large town,22,The middle class of society,con patner e figli
5349,"Poverty, hunger and lack of drinking water",7.0,No,1,2,2,1,1,centro,Woman,36,IE - Ireland,Small or middle sized town,23,The middle class of society,con patner e figli
5350,International terrorism,7.0,No,1,1,1,1,1,centro-dx,Man,38,IE - Ireland,Small or middle sized town,25,The middle class of society,con patner e figli
5351,International terrorism,10.0,No,2,2,1,1,1,non-posizionabile,Woman,54,IE - Ireland,Large town,18,The working class of society,single
5352,"Poverty, hunger and lack of drinking water",5.0,No,2,2,1,2,4,sx,Man,65,IE - Ireland,Rural area or village,13,The working class of society,con patner e figli
5353,Climate change,10.0,Yes,1,1,1,1,1,centro,Man,50,IE - Ireland,Small or middle sized town,25,The upper middle class of society,con patner e figli
5354,"Poverty, hunger and lack of drinking water",5.0,No,1,1,1,1,1,centro-dx,Man,64,IE - Ireland,Large town,25,The middle class of society,con patner e figli
5355,Climate change,5.0,No,1,1,2,1,2,centro,Man,79,IE - Ireland,Small or middle sized town,18,The working class of society,con patner e figli
5356,"Poverty, hunger and lack of drinking water",9.0,Yes,1,1,2,2,2,centro,Woman,62,IE - Ireland,Large town,23,The middle class of society,con patner
5357,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Man,33,IE - Ireland,Rural area or village,18,The working class of society,con patner e figli
5358,Climate change,10.0,Yes,3,2,1,1,2,centro-sx,Man,38,IE - Ireland,Small or middle sized town,23,The working class of society,con patner e figli
5359,Armed conflicts,10.0,Yes,1,1,1,1,1,centro,Woman,63,IE - Ireland,Rural area or village,20,The working class of society,con patner
5360,"Poverty, hunger and lack of drinking water",10.0,No,2,3,1,1,1,centro,Woman,48,IE - Ireland,Rural area or village,16,The lower middle class of society,con patner e figli
5361,Climate change,10.0,Yes,1,1,1,1,1,centro-dx,Man,65,IE - Ireland,Large town,21,The middle class of society,con patner e figli
5362,"Poverty, hunger and lack of drinking water",8.0,Yes,1,1,2,2,2,centro,Woman,83,IE - Ireland,Large town,17,The middle class of society,con patner
5363,International terrorism,9.0,No,2,1,1,1,2,centro-sx,Man,36,IE - Ireland,Rural area or village,16,The working class of society,con patner
5364,"Poverty, hunger and lack of drinking water",10.0,No,2,2,1,1,1,centro-sx,Woman,46,IE - Ireland,Rural area or village,23,The middle class of society,con patner e figli
5365,The economic situation,7.0,Yes,1,2,1,1,1,centro-dx,Woman,47,IE - Ireland,Small or middle sized town,19,The middle class of society,con patner e figli
5366,Climate change,9.0,Yes,2,1,1,1,1,centro,Woman,48,IE - Ireland,Rural area or village,24,The working class of society,single con figli
5367,International terrorism,10.0,Yes,2,2,1,1,1,non-posizionabile,Man,40,IE - Ireland,Rural area or village,16,The working class of society,single
5368,"Poverty, hunger and lack of drinking water",6.0,No,2,2,1,2,1,centro,Woman,38,IE - Ireland,Rural area or village,19,The lower middle class of society,con patner e figli
5369,The economic situation,3.0,Yes,3,2,2,2,1,non-posizionabile,Man,26,IE - Ireland,Small or middle sized town,21,dk,single
5370,"Poverty, hunger and lack of drinking water",10.0,Yes,1,3,1,1,1,centro-sx,Woman,50,IE - Ireland,Small or middle sized town,22,The working class of society,con patner e figli
5371,"Poverty, hunger and lack of drinking water",1.0,Yes,2,2,1,1,1,centro,Man,44,IE - Ireland,Small or middle sized town,17,The working class of society,con patner
5372,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Woman,74,IE - Ireland,Small or middle sized town,16,The working class of society,con patner
5373,Climate change,10.0,No,1,1,1,1,1,centro,Man,26,IE - Ireland,Small or middle sized town,19,The working class of society,single
5374,Armed conflicts,7.0,Yes,1,1,1,1,1,centro,Woman,34,IE - Ireland,Small or middle sized town,23,The working class of society,single
5375,"Poverty, hunger and lack of drinking water",5.0,Yes,1,1,1,1,2,centro,Woman,21,IE - Ireland,Small or middle sized town,0,The working class of society,con patner
5376,International terrorism,3.0,No,4,4,3,3,4,centro,Man,30,IE - Ireland,Small or middle sized town,30,The middle class of society,single
5377,Proliferation of nuclear weapons,10.0,Yes,1,1,1,1,1,centro,Woman,27,IE - Ireland,Small or middle sized town,25,The middle class of society,con patner
5378,Climate change,8.0,Yes,2,2,2,1,2,centro,Woman,41,IE - Ireland,Small or middle sized town,20,The working class of society,con patner e figli
5379,"Poverty, hunger and lack of drinking water",7.0,No,2,2,2,1,2,centro-sx,Man,48,IE - Ireland,Small or middle sized town,21,The middle class of society,con patner e figli
5380,Climate change,9.0,Yes,2,1,1,2,1,centro-dx,Woman,53,IE - Ireland,Rural area or village,51,The middle class of society,con patner e figli
5381,"Poverty, hunger and lack of drinking water",7.0,Yes,2,1,1,1,2,sx,Man,40,IE - Ireland,Rural area or village,37,The lower middle class of society,con patner e figli
5382,Climate change,10.0,Yes,2,2,1,1,1,centro,Woman,54,IE - Ireland,Rural area or village,24,The working class of society,single
5383,The economic situation,6.0,No,2,2,2,2,2,centro,Woman,37,IE - Ireland,Rural area or village,17,The lower middle class of society,con patner e figli
5384,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Man,61,IE - Ireland,Rural area or village,14,The middle class of society,con patner
5385,Climate change,10.0,Yes,1,1,1,1,1,dx,Woman,17,IE - Ireland,Rural area or village,0,The middle class of society,con patner e figli
5386,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,1,1,1,centro-dx,Woman,55,IE - Ireland,Rural area or village,20,The middle class of society,con patner e figli
5387,Armed conflicts,9.0,Yes,1,1,1,1,2,centro,Woman,31,IE - Ireland,Small or middle sized town,23,The middle class of society,single
5388,Climate change,6.0,Yes,2,1,1,2,1,centro-sx,Man,16,IE - Ireland,Large town,0,The middle class of society,single
5389,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro-dx,Man,60,IE - Ireland,Rural area or village,15,The working class of society,con patner
5390,Armed conflicts,5.0,No,2,2,1,2,2,centro-dx,Man,43,IE - Ireland,Large town,3,The middle class of society,con patner e figli
5391,Climate change,10.0,Yes,1,2,1,1,1,sx,Man,29,IE - Ireland,Rural area or village,23,The middle class of society,single
5392,"Poverty, hunger and lack of drinking water",4.0,No,2,2,2,2,3,centro-sx,Man,57,IE - Ireland,Rural area or village,16,The working class of society,con patner
5393,Climate change,8.0,Yes,1,2,2,1,1,centro-sx,Man,47,IE - Ireland,Small or middle sized town,17,The middle class of society,con patner e figli
5394,International terrorism,9.0,No,1,1,1,1,1,centro,Woman,32,IE - Ireland,Large town,24,The middle class of society,con patner e figli
5395,"Poverty, hunger and lack of drinking water",10.0,Yes,2,1,1,1,1,centro,Woman,50,IE - Ireland,Small or middle sized town,21,The middle class of society,con patner e figli
5396,International terrorism,7.0,Yes,2,1,1,1,1,centro-dx,Man,35,IE - Ireland,Small or middle sized town,24,The upper middle class of society,con patner e figli
5397,Armed conflicts,7.0,Yes,1,3,1,1,1,centro,Man,71,IE - Ireland,Large town,18,The higher class of society,con patner
5398,Climate change,5.0,Yes,2,1,1,2,2,centro,Man,46,IE - Ireland,Rural area or village,19,The working class of society,single con figli
5399,Spread of infectious diseases,7.0,Yes,1,2,1,2,1,centro-sx,Woman,58,IE - Ireland,Rural area or village,18,The working class of society,single
5400,Armed conflicts,7.0,No,2,2,2,2,1,centro,Man,57,IE - Ireland,Rural area or village,16,The working class of society,con patner e figli
5401,Spread of infectious diseases,5.0,Yes,1,1,2,1,1,centro,Man,19,IE - Ireland,Rural area or village,0,The working class of society,single
5402,International terrorism,7.0,No,1,1,1,1,1,centro,Man,33,IE - Ireland,Large town,0,The lower middle class of society,single
5403,Proliferation of nuclear weapons,5.0,Yes,1,1,1,1,1,dx,Woman,73,IE - Ireland,Large town,23,The upper middle class of society,con patner
5404,Climate change,9.0,Yes,1,1,1,1,1,centro,Man,18,IE - Ireland,Large town,0,The lower middle class of society,single
5405,International terrorism,5.0,Yes,2,2,2,2,2,centro,Man,86,IE - Ireland,Large town,14,The working class of society,single
5406,The increasing global population,7.0,Yes,2,1,2,1,1,sx,Man,43,IE - Ireland,Large town,24,The upper middle class of society,con patner e figli
5407,International terrorism,8.0,Yes,1,1,2,2,2,centro,Woman,40,IE - Ireland,Large town,18,The working class of society,single
5408,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,1,1,1,centro,Man,70,IE - Ireland,Large town,27,The higher class of society,con patner e figli
5409,Climate change,7.0,Yes,1,1,2,2,1,centro,Woman,45,IE - Ireland,Large town,22,The higher class of society,con patner e figli
5410,International terrorism,5.0,Yes,2,2,2,2,2,centro,Woman,69,IE - Ireland,Large town,18,The upper middle class of society,single con figli
5411,Climate change,6.0,Yes,2,2,1,1,1,non-posizionabile,Woman,60,IE - Ireland,Rural area or village,20,The working class of society,con patner
5412,The increasing global population,5.0,Yes,2,2,2,2,2,centro,Man,78,IE - Ireland,Large town,19,The middle class of society,con patner
5413,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Woman,78,IE - Ireland,Large town,dk,The middle class of society,single
5414,The economic situation,9.0,Yes,2,2,2,2,1,centro-sx,Man,34,IE - Ireland,Rural area or village,16,The working class of society,con patner
5415,The increasing global population,1.0,No,3,3,3,3,3,dx,Man,63,IE - Ireland,Rural area or village,59,The lower middle class of society,con patner e figli
5416,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,2,1,1,centro,Woman,75,IE - Ireland,Large town,16,The middle class of society,con patner
5417,The economic situation,10.0,No,1,1,1,1,1,dx,Man,35,IE - Ireland,Large town,21,The working class of society,con patner e figli
5418,The increasing global population,10.0,Yes,1,1,1,1,2,centro,Woman,36,IE - Ireland,Large town,18,The working class of society,con patner e figli
5419,Spread of infectious diseases,10.0,Yes,2,2,1,1,1,dx,Woman,52,IE - Ireland,Large town,19,The lower middle class of society,single con figli
5420,The economic situation,10.0,Yes,1,2,1,1,1,dx,Woman,77,IE - Ireland,Large town,17,The middle class of society,con patner
5421,The economic situation,6.0,Yes,2,2,2,2,2,centro,Woman,62,IE - Ireland,Large town,15,The lower middle class of society,single
5422,Climate change,10.0,Yes,1,2,1,1,2,centro,Man,46,IE - Ireland,Rural area or village,23,The working class of society,con patner e figli
5423,The economic situation,8.0,Yes,1,1,1,1,1,centro-sx,Man,42,IE - Ireland,Rural area or village,19,The working class of society,con patner e figli
5424,The economic situation,6.0,Yes,2,2,2,2,2,centro,Woman,74,IE - Ireland,Large town,18,The middle class of society,single
5425,International terrorism,9.0,Yes,2,2,2,2,2,non-posizionabile,Woman,33,IE - Ireland,Small or middle sized town,19,The middle class of society,con patner e figli
5426,Proliferation of nuclear weapons,7.0,No,2,2,3,3,2,centro-sx,Man,27,IE - Ireland,Small or middle sized town,16,The working class of society,con patner
5427,Armed conflicts,10.0,Yes,2,2,1,1,1,sx,Man,42,IE - Ireland,Small or middle sized town,22,The middle class of society,con patner e figli
5428,International terrorism,9.0,No,2,2,2,2,2,non-posizionabile,Woman,19,IE - Ireland,Small or middle sized town,0,The lower middle class of society,con patner
